Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1982,0.32,0.32,-0.11,0.42,0.95,1.25,0.52,0.21,0.2,0.31,-0.2,-0.41
1983,0.2,0.1,0,0.72,0.61,0.3,0.4,0.3,0.5,0.3,0.2,0.1
1984,0.59,0.49,0.2,0.49,0.29,0.29,0.39,0.38,0.48,0.29,0,0
1985,0.19,0.47,0.38,0.47,0.37,0.28,0.19,0.19,0.28,0.37,0.28,0.28
1986,0.27,-0.27,-0.46,-0.18,0.28,0.55,0,0.18,0.46,0.09,0.09,0.09
1987,0.63,0.36,0.45,0.54,0.35,0.35,0.26,0.53,0.52,0.26,0.09,0
1988,0.26,0.26,0.43,0.52,0.34,0.43,0.42,0.42,0.67,0.33,0.08,0.17
1989,0.5,0.41,0.58,0.65,0.57,0.24,0.24,0.16,0.32,0.48,0.24,0.16
1990,1.03,0.47,0.55,0.16,0.23,0.54,0.38,0.92,0.84,0.6,0.22,0
1991,0.6,0.15,0.15,0.15,0.3,0.29,0.15,0.29,0.44,0.15,0.29,0.07
1992,0.15,0.36,0.51,0.14,0.14,0.36,0.21,0.28,0.28,0.35,0.14,-0.07
1993,0.49,0.35,0.35,0.28,0.14,0.14,0,0.28,0.21,0.41,0.07,0
1994,0.27,0.34,0.34,0.14,0.07,0.34,0.27,0.4,0.27,0.07,0.13,0
1995,0.4,0.4,0.33,0.33,0.2,0.2,0,0.26,0.2,0.33,-0.07,-0.07
1996,0.59,0.32,0.52,0.39,0.19,0.06,0.19,0.19,0.32,0.32,0.19,0
1997,0.32,0.31,0.25,0.12,-0.06,0.12,0.12,0.19,0.25,0.25,-0.06,-0.12
1998,0.19,0.19,0.19,0.18,0.18,0.12,0.12,0.12,0.12,0.24,0,-0.06
1999,0.24,0.12,0.3,0.73,0,0,0.3,0.24,0.48,0.18,0.06,0
2000,0.3,0.59,0.82,0.06,0.12,0.52,0.23,0,0.52,0.17,0.06,-0.06
2001,0.63,0.4,0.23,0.4,0.45,0.17,-0.28,0,0.45,-0.34,-0.17,-0.39
2002,0.23,0.4,0.56,0.56,0,0.06,0.11,0.33,0.17,0.17,0,-0.22
2003,0.44,0.77,0.6,-0.22,-0.16,0.11,0.11,0.38,0.33,-0.11,-0.27,-0.11
2004,0.49,0.54,0.64,0.32,0.59,0.32,-0.16,0.05,0.21,0.53,0.05,-0.37
2005,0.21,0.58,0.78,0.67,-0.1,0.05,0.46,0.51,1.22,0.2,-0.8,-0.4
2006,0.76,0.2,0.55,0.85,0.5,0.2,0.3,0.2,-0.49,-0.54,-0.15,0.15
2007,0.31,0.54,0.91,0.65,0.61,0.19,-0.03,-0.18,0.28,0.21,0.59,-0.07
2008,0.5,0.29,0.87,0.61,0.84,1.01,0.53,-0.4,-0.14,-1.01,-1.92,-1.03
2009,0.44,0.5,0.24,0.25,0.29,0.86,-0.16,0.22,0.06,0.1,0.07,-0.18
2010,0.34,0.02,0.41,0.17,0.08,-0.1,0.02,0.14,0.06,0.12,0.04,0.17
2011,0.48,0.49,0.98,0.64,0.47,-0.11,0.09,0.28,0.15,-0.21,-0.08,-0.25
2012,0.44,0.44,0.76,0.3,-0.12,-0.15,-0.16,0.56,0.45,-0.04,-0.47,-0.27
2013,0.3,0.82,0.26,-0.1,0.18,0.24,0.04,0.12,0.12,-0.26,-0.2,-0.01
2014,0.37,0.37,0.64,0.33,0.35,0.19,-0.04,-0.17,0.08,-0.25,-0.54,-0.57
2015,-0.47,0.43,0.6,0.2,0.51,0.35,0.01,-0.14,-0.16,-0.04,-0.21,-0.34
2016,0.17,0.08,0.43,0.47,0.41,0.33,-0.16,0.09,0.24,0.12,-0.16,0.03
2017,0.58,0.31,0.08,0.3,0.09,0.09,-0.07,0.3,0.53,-0.06,0,-0.06
2018,0.54,0.45,0.23,0.4,0.42,0.16,0.01,0.06,0.12,0.18,-0.33,-0.32
2019,0.19,0.42,0.56,0.53,0.21,0.02,0.17,-0.01,,,,
