Date,Open,High,Low,Close,Adj Close,Volume
1977-02-01,7.700000,7.820000,7.670000,7.800000,7.800000,0
1977-03-01,7.840000,7.840000,7.740000,7.790000,7.790000,0
1977-04-01,7.780000,7.800000,7.630000,7.800000,7.800000,0
1977-05-01,7.800000,7.860000,7.740000,7.740000,7.740000,0
1977-06-01,7.750000,7.750000,7.560000,7.580000,7.580000,0
1977-07-01,7.580000,7.720000,7.580000,7.720000,7.720000,0
1977-08-01,7.700000,7.740000,7.580000,7.600000,7.600000,0
1977-09-01,7.610000,7.700000,7.570000,7.680000,7.680000,0
1977-10-01,7.700000,7.830000,7.690000,7.830000,7.830000,0
1977-11-01,7.860000,7.920000,7.810000,7.830000,7.830000,0
1977-12-01,7.850000,8.060000,7.850000,8.030000,8.030000,0
1978-01-01,8.080000,8.230000,8.070000,8.180000,8.180000,0
1978-02-01,8.200000,8.300000,8.200000,8.250000,8.250000,0
1978-03-01,8.260000,8.330000,8.180000,8.330000,8.330000,0
1978-04-01,8.320000,8.400000,8.290000,8.390000,8.390000,0
1978-05-01,8.380000,8.500000,8.380000,8.500000,8.500000,0
1978-06-01,8.500000,8.620000,8.440000,8.620000,8.620000,0
1978-07-01,8.600000,8.700000,8.550000,8.560000,8.560000,0
1978-08-01,8.550000,8.600000,8.410000,8.460000,8.460000,0
1978-09-01,8.450000,8.610000,8.360000,8.610000,8.610000,0
1978-10-01,8.630000,8.870000,8.580000,8.870000,8.870000,0
1978-11-01,8.660000,8.820000,8.660000,8.800000,8.800000,0
1978-12-01,8.730000,8.990000,8.730000,8.960000,8.960000,0
1979-01-01,8.990000,8.990000,8.820000,8.850000,8.850000,0
1979-02-01,8.850000,9.100000,8.840000,9.080000,9.080000,0
1979-03-01,9.090000,9.090000,8.990000,9.020000,9.020000,0
1979-04-01,9.020000,9.220000,8.990000,9.220000,9.220000,0
1979-05-01,9.210000,9.290000,9.030000,9.080000,9.080000,0
1979-06-01,9.070000,9.070000,8.830000,8.830000,8.830000,0
1979-07-01,8.800000,9.010000,8.800000,8.990000,8.990000,0
1979-08-01,8.970000,9.090000,8.900000,9.090000,9.090000,0
1979-09-01,9.140000,9.250000,9.110000,9.250000,9.250000,0
1979-10-01,9.320000,10.330000,9.280000,10.190000,10.190000,0
1979-11-01,10.300000,10.530000,10.020000,10.090000,10.090000,0
1979-12-01,10.110000,10.270000,9.930000,10.110000,10.110000,0
1980-01-01,10.230000,11.120000,10.230000,11.090000,11.090000,0
1980-02-01,11.230000,12.850000,11.230000,12.250000,12.250000,0
1980-03-01,12.320000,12.690000,11.970000,12.310000,12.310000,0
1980-04-01,12.350000,12.350000,10.860000,10.890000,10.890000,0
1980-05-01,10.720000,10.720000,10.090000,10.370000,10.370000,0
1980-06-01,10.450000,10.450000,9.490000,9.990000,9.990000,0
1980-07-01,10.120000,10.800000,10.000000,10.800000,10.800000,0
1980-08-01,10.760000,11.430000,10.680000,11.270000,11.270000,0
1980-09-01,11.080000,11.930000,10.940000,11.700000,11.700000,0
1980-10-01,11.690000,12.280000,11.110000,12.230000,12.230000,0
1980-11-01,12.220000,12.710000,12.190000,12.320000,12.320000,0
1980-12-01,12.510000,13.170000,11.750000,11.980000,11.980000,0
1981-01-01,12.010000,12.460000,11.670000,12.280000,12.280000,0
1981-02-01,12.450000,13.200000,12.450000,12.970000,12.970000,0
1981-03-01,13.190000,13.190000,12.160000,12.650000,12.650000,0
1981-04-01,12.650000,13.650000,12.650000,13.650000,13.650000,0
1981-05-01,13.590000,14.110000,13.060000,13.060000,13.060000,0
1981-06-01,13.060000,13.300000,12.590000,13.300000,13.300000,0
1981-07-01,13.470000,13.960000,13.190000,13.960000,13.960000,0
1981-08-01,14.270000,14.780000,13.630000,14.780000,14.780000,0
1981-09-01,14.700000,15.200000,14.090000,15.190000,15.190000,0
1981-10-01,15.140000,15.210000,14.260000,14.360000,14.360000,0
1981-11-01,14.410000,14.410000,12.760000,12.910000,12.910000,0
1981-12-01,13.060000,13.880000,12.890000,13.650000,13.650000,0
1982-01-01,13.870000,14.470000,13.870000,13.910000,13.910000,0
1982-02-01,14.330000,14.800000,13.620000,13.830000,13.830000,0
1982-03-01,13.630000,13.810000,13.350000,13.680000,13.680000,0
1982-04-01,13.600000,13.730000,13.130000,13.390000,13.390000,0
1982-05-01,13.450000,13.450000,13.080000,13.390000,13.390000,0
1982-06-01,13.660000,14.260000,13.600000,13.910000,13.910000,0
1982-07-01,13.900000,14.030000,13.200000,13.420000,13.420000,0
1982-08-01,13.170000,13.410000,12.140000,12.500000,12.500000,0
1982-09-01,12.410000,12.410000,11.750000,11.790000,11.790000,0
1982-10-01,11.650000,11.830000,10.750000,11.010000,11.010000,0
1982-11-01,10.840000,10.840000,10.330000,10.700000,10.700000,0
1982-12-01,10.690000,10.770000,10.410000,10.430000,10.430000,0
1983-01-01,10.390000,10.990000,10.390000,10.990000,10.990000,0
1983-02-01,10.950000,11.140000,10.500000,10.510000,10.510000,0
1983-03-01,10.450000,10.750000,10.440000,10.690000,10.690000,0
1983-04-01,10.670000,10.670000,10.350000,10.380000,10.380000,0
1983-05-01,10.390000,10.970000,10.270000,10.970000,10.970000,0
1983-06-01,10.910000,11.160000,10.720000,11.010000,11.010000,0
1983-07-01,11.000000,11.800000,11.000000,11.800000,11.800000,0
1983-08-01,11.820000,12.150000,11.510000,11.960000,11.960000,0
1983-09-01,11.950000,11.970000,11.420000,11.440000,11.440000,0
1983-10-01,11.480000,11.780000,11.360000,11.780000,11.780000,0
1983-11-01,11.770000,11.910000,11.620000,11.670000,11.670000,0
1983-12-01,11.670000,12.010000,11.670000,11.870000,11.870000,0
1984-01-01,11.930000,11.930000,11.620000,11.780000,11.780000,0
1984-02-01,11.740000,12.220000,11.710000,12.140000,12.140000,0
1984-03-01,12.160000,12.530000,12.050000,12.520000,12.520000,0
1984-04-01,12.550000,12.860000,12.410000,12.860000,12.860000,0
1984-05-01,12.870000,13.940000,12.870000,13.840000,13.840000,0
1984-06-01,13.580000,13.640000,13.140000,13.640000,13.640000,0
1984-07-01,13.640000,13.640000,12.870000,12.870000,12.870000,0
1984-08-01,12.780000,12.780000,12.350000,12.510000,12.510000,0
1984-09-01,12.570000,12.610000,12.070000,12.280000,12.280000,0
1984-10-01,12.350000,12.360000,11.610000,11.640000,11.640000,0
1984-11-01,11.530000,11.780000,11.320000,11.580000,11.580000,0
1984-12-01,11.560000,11.700000,11.350000,11.540000,11.540000,0
1985-01-01,11.690000,11.700000,11.160000,11.210000,11.210000,0
1985-02-01,11.320000,11.900000,11.240000,11.900000,11.900000,0
1985-03-01,11.820000,11.970000,11.640000,11.640000,11.640000,0
1985-04-01,11.650000,11.750000,11.210000,11.480000,11.480000,0
1985-05-01,11.370000,11.390000,10.580000,10.580000,10.580000,0
1985-06-01,10.400000,10.680000,10.230000,10.470000,10.470000,0
1985-07-01,10.440000,10.790000,10.230000,10.700000,10.700000,0
1985-08-01,10.620000,10.770000,10.370000,10.480000,10.480000,0
1985-09-01,10.460000,10.730000,10.400000,10.570000,10.570000,0
1985-10-01,10.550000,10.660000,10.260000,10.280000,10.280000,0
1985-11-01,10.240000,10.240000,9.860000,9.860000,9.860000,0
1985-12-01,9.940000,9.940000,9.270000,9.270000,9.270000,0
1986-01-01,9.280000,9.650000,9.180000,9.340000,9.340000,0
1986-02-01,9.280000,9.320000,8.270000,8.270000,8.270000,0
1986-03-01,8.160000,8.260000,7.440000,7.440000,7.440000,0
1986-04-01,7.470000,7.610000,7.140000,7.470000,7.470000,0
1986-05-01,7.540000,7.740000,7.360000,7.740000,7.740000,0
1986-06-01,7.910000,7.930000,7.240000,7.240000,7.240000,0
1986-07-01,7.210000,7.590000,7.120000,7.460000,7.460000,0
1986-08-01,7.460000,7.570000,7.170000,7.210000,7.210000,0
1986-09-01,7.230000,7.830000,7.230000,7.600000,7.600000,0
1986-10-01,7.570000,7.920000,7.530000,7.610000,7.610000,0
1986-11-01,7.570000,7.640000,7.400000,7.410000,7.410000,0
1986-12-01,7.420000,7.490000,7.290000,7.490000,7.490000,0
1987-01-01,7.440000,7.490000,7.290000,7.480000,7.480000,0
1987-02-01,7.520000,7.640000,7.470000,7.480000,7.480000,0
1987-03-01,7.460000,7.840000,7.440000,7.810000,7.810000,0
1987-04-01,7.890000,8.690000,7.840000,8.450000,8.450000,0
1987-05-01,8.590000,9.070000,8.590000,8.650000,8.650000,0
1987-06-01,8.630000,8.900000,8.400000,8.510000,8.510000,0
1987-07-01,8.490000,8.890000,8.400000,8.890000,8.890000,0
1987-08-01,9.020000,9.180000,8.770000,9.170000,9.170000,0
1987-09-01,9.240000,9.800000,9.240000,9.790000,9.790000,0
1987-10-01,9.800000,10.250000,8.940000,9.030000,9.030000,0
1987-11-01,9.130000,9.180000,8.800000,9.100000,9.100000,0
1987-12-01,9.150000,9.450000,8.900000,8.950000,8.950000,0
1988-01-01,8.950000,9.120000,8.420000,8.420000,8.420000,0
1988-02-01,8.420000,8.540000,8.320000,8.390000,8.390000,0
1988-03-01,8.400000,8.830000,8.360000,8.820000,8.820000,0
1988-04-01,8.920000,9.110000,8.740000,9.110000,9.110000,0
1988-05-01,9.170000,9.360000,9.110000,9.300000,9.300000,0
1988-06-01,9.120000,9.160000,8.810000,8.870000,8.870000,0
1988-07-01,8.840000,9.270000,8.840000,9.230000,9.230000,0
1988-08-01,9.170000,9.460000,9.040000,9.310000,9.310000,0
1988-09-01,9.310000,9.310000,8.960000,8.980000,8.980000,0
1988-10-01,8.960000,8.980000,8.740000,8.740000,8.740000,0
1988-11-01,8.760000,9.180000,8.760000,9.070000,9.070000,0
1988-12-01,9.020000,9.180000,8.920000,9.000000,9.000000,0
1989-01-01,9.090000,9.100000,8.760000,8.840000,8.840000,0
1989-02-01,8.830000,9.180000,8.800000,9.140000,9.140000,0
1989-03-01,9.180000,9.310000,9.050000,9.110000,9.110000,0
1989-04-01,9.070000,9.150000,8.910000,8.910000,8.910000,0
1989-05-01,9.000000,9.120000,8.600000,8.600000,8.600000,0
1989-06-01,8.610000,8.610000,8.050000,8.050000,8.050000,0
1989-07-01,8.070000,8.170000,7.920000,7.920000,7.920000,0
1989-08-01,7.830000,8.250000,7.830000,8.210000,8.210000,0
1989-09-01,8.140000,8.300000,8.070000,8.240000,8.240000,0
1989-10-01,8.220000,8.220000,7.870000,7.920000,7.920000,0
1989-11-01,7.890000,7.970000,7.870000,7.900000,7.900000,0
1989-12-01,7.880000,8.000000,7.830000,7.980000,7.980000,0
1990-01-01,8.000000,8.550000,8.000000,8.460000,8.460000,0
1990-02-01,8.440000,8.660000,8.360000,8.540000,8.540000,0
1990-03-01,8.610000,8.720000,8.470000,8.630000,8.630000,0
1990-04-01,8.630000,9.040000,8.520000,9.000000,9.000000,0
1990-05-01,9.040000,9.050000,8.580000,8.580000,8.580000,0
1990-06-01,8.430000,8.560000,8.360000,8.410000,8.410000,0
1990-07-01,8.410000,8.590000,8.400000,8.420000,8.420000,0
1990-08-01,8.360000,9.170000,8.360000,8.990000,8.990000,0
1990-09-01,9.030000,9.180000,8.920000,8.960000,8.960000,0
1990-10-01,8.840000,9.080000,8.740000,8.780000,8.780000,0
1990-11-01,8.700000,8.730000,8.400000,8.400000,8.400000,0
1990-12-01,8.360000,8.370000,8.070000,8.260000,8.260000,0
1991-01-01,8.140000,8.460000,8.110000,8.210000,8.210000,0
1991-02-01,8.090000,8.190000,7.950000,8.190000,8.190000,0
1991-03-01,8.280000,8.420000,8.200000,8.240000,8.240000,0
1991-04-01,8.250000,8.300000,8.110000,8.200000,8.200000,0
1991-05-01,8.180000,8.360000,8.140000,8.260000,8.260000,0
1991-06-01,8.340000,8.550000,8.340000,8.420000,8.420000,0
1991-07-01,8.440000,8.530000,8.360000,8.360000,8.360000,0
1991-08-01,8.380000,8.380000,7.990000,8.060000,8.060000,0
1991-09-01,8.050000,8.090000,7.820000,7.820000,7.820000,0
1991-10-01,7.810000,8.100000,7.790000,7.910000,7.910000,0
1991-11-01,7.930000,8.020000,7.800000,7.940000,7.940000,0
1991-12-01,7.920000,7.920000,7.410000,7.410000,7.410000,0
1992-01-01,7.460000,7.790000,7.390000,7.770000,7.770000,0
1992-02-01,7.820000,7.970000,7.740000,7.800000,7.800000,0
1992-03-01,7.900000,8.070000,7.880000,7.960000,7.960000,0
1992-04-01,7.900000,8.100000,7.850000,8.060000,8.060000,0
1992-05-01,8.010000,8.030000,7.770000,7.840000,7.840000,0
1992-06-01,7.900000,7.900000,7.780000,7.790000,7.790000,0
1992-07-01,7.760000,7.760000,7.430000,7.460000,7.460000,0
1992-08-01,7.460000,7.470000,7.320000,7.420000,7.420000,0
1992-09-01,7.380000,7.480000,7.230000,7.380000,7.380000,0
1992-10-01,7.300000,7.660000,7.300000,7.630000,7.630000,0
1992-11-01,7.660000,7.760000,7.510000,7.590000,7.590000,0
1992-12-01,7.570000,7.570000,7.340000,7.400000,7.400000,0
1993-01-01,7.330000,7.480000,7.210000,7.210000,7.210000,0
1993-02-01,7.210000,7.260000,6.830000,6.900000,6.900000,0
1993-03-01,6.830000,6.940000,6.720000,6.930000,6.930000,0
1993-04-01,6.970000,7.060000,6.730000,6.950000,6.950000,0
1993-05-01,6.860000,7.030000,6.800000,6.980000,6.980000,0
1993-06-01,6.880000,6.910000,6.670000,6.680000,6.680000,0
1993-07-01,6.690000,6.710000,6.540000,6.570000,6.570000,0
1993-08-01,6.560000,6.560000,6.090000,6.090000,6.090000,0
1993-09-01,6.090000,6.140000,5.860000,6.040000,6.040000,0
1993-10-01,5.980000,6.020000,5.780000,5.965000,5.965000,0
1993-11-01,6.020000,6.367000,6.020000,6.286000,6.286000,0
1993-12-01,6.301000,6.358000,6.121000,6.339000,6.339000,0
1994-01-01,6.346000,6.415000,6.148000,6.224000,6.224000,0
1994-02-01,6.231000,6.741000,6.231000,6.671000,6.671000,0
1994-03-01,6.692000,7.187000,6.666000,7.125000,7.125000,0
1994-04-01,7.241000,7.440000,7.070000,7.302000,7.302000,0
1994-05-01,7.311000,7.650000,7.219000,7.435000,7.435000,0
1994-06-01,7.456000,7.615000,7.180000,7.612000,7.612000,0
1994-07-01,7.591000,7.741000,7.373000,7.379000,7.379000,0
1994-08-01,7.403000,7.683000,7.335000,7.441000,7.441000,0
1994-09-01,7.452000,7.872000,7.364000,7.819000,7.819000,0
1994-10-01,7.825000,8.072000,7.794000,7.962000,7.962000,0
1994-11-01,7.994000,8.174000,7.928000,7.977000,7.977000,0
1994-12-01,7.994000,8.061000,7.742000,7.870000,7.870000,0
1995-01-01,7.882000,7.956000,7.690000,7.690000,7.690000,0
1995-02-01,7.676000,7.766000,7.445000,7.445000,7.445000,0
1995-03-01,7.470000,7.659000,7.276000,7.430000,7.430000,0
1995-04-01,7.443000,7.443000,7.280000,7.333000,7.333000,0
1995-05-01,7.338000,7.351000,6.644000,6.644000,6.644000,0
1995-06-01,6.662000,6.744000,6.427000,6.624000,6.624000,0
1995-07-01,6.628000,6.972000,6.449000,6.855000,6.855000,0
1995-08-01,6.855000,7.005000,6.628000,6.645000,6.645000,0
1995-09-01,6.652000,6.714000,6.430000,6.482000,6.482000,0
1995-10-01,6.484000,6.498000,6.264000,6.317000,6.317000,0
1995-11-01,6.335000,6.368000,6.117000,6.132000,6.132000,0
1995-12-01,6.125000,6.241000,5.949000,5.949000,5.949000,0
1996-01-01,5.953000,6.185000,5.918000,6.023000,6.023000,0
1996-02-01,6.042000,6.543000,6.005000,6.492000,6.492000,0
1996-03-01,6.423000,6.809000,6.330000,6.679000,6.679000,0
1996-04-01,6.661000,6.992000,6.609000,6.877000,6.877000,0
1996-05-01,6.921000,7.117000,6.764000,6.991000,6.991000,0
1996-06-01,7.022000,7.208000,6.873000,6.898000,6.898000,0
1996-07-01,6.909000,7.232000,6.898000,6.966000,6.966000,0
1996-08-01,6.955000,7.133000,6.668000,7.107000,7.107000,0
1996-09-01,7.152000,7.216000,6.836000,6.923000,6.923000,0
1996-10-01,6.923000,6.926000,6.626000,6.650000,6.650000,0
1996-11-01,6.621000,6.695000,6.352000,6.352000,6.352000,0
1996-12-01,6.368000,6.694000,6.308000,6.635000,6.635000,0
1997-01-01,6.632000,6.962000,6.613000,6.797000,6.797000,0
1997-02-01,6.781000,6.832000,6.499000,6.787000,6.787000,0
1997-03-01,6.827000,7.101000,6.799000,7.101000,7.101000,0
1997-04-01,7.098000,7.184000,6.915000,6.951000,6.951000,0
1997-05-01,6.946000,7.064000,6.849000,6.913000,6.913000,0
1997-06-01,6.898000,6.931000,6.629000,6.794000,6.794000,0
1997-07-01,6.787000,6.799000,6.285000,6.294000,6.294000,0
1997-08-01,6.279000,6.759000,6.274000,6.601000,6.601000,0
1997-09-01,6.623000,6.690000,6.307000,6.407000,6.407000,0
1997-10-01,6.379000,6.472000,6.093000,6.144000,6.144000,0
1997-11-01,6.189000,6.258000,6.007000,6.036000,6.036000,0
1997-12-01,6.030000,6.157000,5.851000,5.925000,5.925000,0
1998-01-01,5.920000,5.977000,5.662000,5.805000,5.805000,0
1998-02-01,5.816000,6.011000,5.777000,5.918000,5.918000,0
1998-03-01,5.942000,6.090000,5.828000,5.937000,5.937000,0
1998-04-01,5.929000,6.090000,5.732000,5.946000,5.946000,0
1998-05-01,5.922000,6.041000,5.780000,5.800000,5.800000,0
1998-06-01,5.772000,5.843000,5.595000,5.618000,5.618000,0
1998-07-01,5.632000,5.781000,5.566000,5.717000,5.717000,0
1998-08-01,5.705000,5.705000,5.289000,5.291000,5.291000,0
1998-09-01,5.307000,5.365000,4.974000,4.976000,4.976000,0
1998-10-01,4.908000,5.225000,4.690000,5.143000,5.143000,0
1998-11-01,5.179000,5.417000,5.068000,5.070000,5.070000,0
1998-12-01,5.058000,5.229000,4.925000,5.084000,5.084000,0
1999-01-01,5.066000,5.353000,5.060000,5.086000,5.086000,0
1999-02-01,5.102000,5.657000,5.102000,5.553000,5.553000,0
1999-03-01,5.589000,5.719000,5.439000,5.621000,5.621000,0
1999-04-01,5.612000,5.687000,5.406000,5.673000,5.673000,0
1999-05-01,5.680000,5.940000,5.646000,5.823000,5.823000,0
1999-06-01,5.849000,6.191000,5.842000,5.988000,5.988000,0
1999-07-01,6.001000,6.122000,5.851000,6.104000,6.104000,0
